"Date","Price","Open","High","Low","Vol.","Change %"
"07/12/2023","775.000","780.500","790.500","760.000","","-0.51%"
"07/11/2023","779.000","787.650","790.500","760.500","","-1.27%"
"07/10/2023","789.000","768.500","790.000","768.500","","2.73%"
"07/07/2023","768.000","775.500","776.000","765.500","","-0.78%"
"07/06/2023","774.000","773.500","776.000","765.500","","0.26%"
"07/05/2023","772.000","771.380","776.500","771.380","","0.28%"
"07/04/2023","769.880","770.500","775.500","765.500","","0.00%"
"07/03/2023","769.880","760.270","775.500","756.500","","1.46%"
"06/30/2023","758.770","754.440","775.500","753.970","","0.77%"
"06/29/2023","752.940","754.450","754.975","753.970","","0.00%"
"06/28/2023","752.950","764.550","764.550","753.975","","-1.32%"
"06/27/2023","763.050","743.750","765.525","743.750","","2.80%"
"06/26/2023","742.250","761.500","770.500","743.750","","-2.34%"
"06/23/2023","760.000","760.000","765.500","733.290","","2.01%"
"06/22/2023","745.000","746.500","752.000","730.500","","0.00%"
"06/21/2023","745.000","690.500","750.000","690.500","","8.13%"
"06/20/2023","689.000","680.000","691.000","680.000","","0.30%"
"06/19/2023","686.960","656.500","687.460","650.500","","4.88%"
"06/16/2023","655.000","620.500","665.500","590.950","","5.56%"
"06/15/2023","620.500","620.200","659.000","600.500","","0.05%"
"06/14/2023","620.200","462.880","665.000","462.880","","34.13%"
"06/13/2023","462.380","462.400","474.500","462.380","","0.10%"
"06/12/2023","461.900","462.400","462.450","462.400","","0.00%"
"06/09/2023","461.900","462.170","466.000","462.170","","0.05%"
"06/08/2023","461.670","461.680","466.000","461.680","","0.11%"
"06/07/2023","461.180","461.680","474.500","461.650","","0.00%"
"06/06/2023","461.180","461.550","466.000","461.520","","0.03%"
"06/05/2023","461.050","461.420","464.500","460.500","","0.03%"
"06/02/2023","460.920","461.260","461.420","461.250","","0.03%"
"06/01/2023","460.760","461.100","465.500","461.100","","0.03%"
"05/31/2023","460.600","460.950","461.100","460.950","","0.03%"
"05/30/2023","460.450","460.750","464.500","460.710","","0.04%"
"05/29/2023","460.250","460.750","460.750","460.750","","-0.01%"
"05/26/2023","460.300","460.810","460.810","460.800","","0.00%"
"05/25/2023","460.310","460.780","464.500","460.750","","0.01%"
"05/24/2023","460.280","460.780","465.500","460.500","","0.00%"
"05/23/2023","460.280","460.810","460.810","460.780","","-0.01%"
"05/22/2023","460.310","460.840","463.500","460.810","","-0.01%"
"05/19/2023","460.340","460.860","463.500","460.840","","0.00%"
"05/18/2023","460.360","460.700","460.860","460.700","","0.03%"
"05/17/2023","460.200","460.570","460.700","460.570","","0.03%"
"05/16/2023","460.070","460.530","460.570","460.500","","0.01%"
"05/15/2023","460.030","460.530","462.500","460.520","","0.00%"
"05/12/2023","460.030","460.570","460.570","460.530","","-0.01%"
"05/11/2023","460.070","460.560","462.500","460.550","","0.00%"
"05/10/2023","460.060","460.440","460.560","460.430","","0.03%"
"05/09/2023","459.940","460.500","460.520","460.440","","-0.01%"
"05/08/2023","460.000","460.370","461.500","460.350","","0.03%"
"05/05/2023","459.870","460.340","460.370","460.330","","0.01%"
"05/04/2023","459.840","460.350","460.350","460.320","","0.00%"
"05/03/2023","459.850","460.310","460.350","460.300","","0.01%"
"05/02/2023","459.810","460.370","460.500","460.310","","-0.01%"
"05/01/2023","459.870","460.470","460.480","460.370","","-0.02%"
"04/28/2023","459.970","460.470","460.500","460.450","","0.00%"
"04/27/2023","459.970","460.470","460.500","460.450","","0.00%"
"04/26/2023","459.970","460.530","460.530","460.470","","-0.01%"
"04/25/2023","460.030","460.530","460.530","460.520","","0.00%"
"04/24/2023","460.030","460.530","460.530","459.970","","0.00%"
"04/21/2023","460.030","460.530","460.540","460.530","","0.00%"
"04/20/2023","460.030","460.530","460.530","460.520","","0.00%"
"04/19/2023","460.030","460.410","460.530","460.320","","0.03%"
"04/18/2023","459.910","460.420","460.420","460.410","","0.00%"
"04/17/2023","459.920","460.430","460.500","460.420","","0.00%"
"04/14/2023","459.930","460.430","460.430","460.420","","0.00%"
"04/13/2023","459.930","460.330","460.430","460.320","","0.02%"
"04/12/2023","459.830","460.330","460.330","460.330","","0.00%"
"04/11/2023","459.830","460.330","460.500","460.330","","0.00%"
"04/10/2023","459.830","460.330","460.330","460.320","","0.00%"
"04/07/2023","459.830","460.330","460.330","460.330","","0.00%"
"04/06/2023","459.830","460.360","460.360","460.330","","-0.01%"
"04/05/2023","459.860","460.330","460.360","460.320","","0.01%"
"04/04/2023","459.830","460.330","460.330","460.320","","0.00%"
"04/03/2023","459.830","460.340","460.350","460.320","","0.00%"
"03/31/2023","459.840","460.350","460.350","460.340","","0.00%"
"03/30/2023","459.850","460.320","460.350","460.290","","0.01%"
"03/29/2023","459.820","460.350","460.400","460.320","","-0.01%"
"03/28/2023","459.850","460.400","460.410","460.350","","-0.01%"
"03/27/2023","459.900","460.480","460.500","460.400","","-0.02%"
"03/24/2023","459.980","460.480","460.480","460.470","","0.00%"
"03/23/2023","459.980","460.450","460.480","460.450","","0.01%"
"03/22/2023","459.950","460.420","460.450","460.420","","0.01%"
"03/21/2023","459.920","460.390","460.420","460.390","","0.01%"
"03/20/2023","459.890","460.440","460.500","460.390","","-0.01%"
"03/17/2023","459.940","460.440","460.450","460.440","","0.00%"
"03/16/2023","459.940","460.540","460.550","460.440","","-0.02%"
"03/15/2023","460.040","460.530","460.540","460.530","","0.00%"
"03/14/2023","460.030","460.520","460.530","460.520","","0.00%"
"03/13/2023","460.020","460.520","460.530","460.520","","0.00%"
"03/10/2023","460.020","460.520","460.550","460.520","","0.00%"
"03/09/2023","460.020","460.490","460.520","460.480","","0.01%"
"03/08/2023","459.990","460.460","460.490","460.450","","0.01%"
"03/07/2023","459.960","460.460","460.470","460.460","","0.00%"
"03/06/2023","459.960","460.460","460.460","460.450","","0.00%"
"03/03/2023","459.960","460.470","460.480","460.460","","0.00%"
"03/02/2023","459.970","460.470","460.470","460.450","","0.00%"
"03/01/2023","459.970","460.470","460.470","460.460","","0.00%"
"02/28/2023","459.970","460.450","460.470","460.440","","0.00%"
"02/27/2023","459.950","460.440","460.450","460.430","","0.00%"
"02/24/2023","459.940","460.440","460.440","460.430","","0.00%"
"02/23/2023","459.940","460.470","460.470","460.440","","-0.01%"
"02/22/2023","459.970","460.470","460.470","460.450","","0.00%"
"02/21/2023","459.970","460.550","460.550","460.470","","-0.02%"
"02/20/2023","460.050","460.540","460.550","460.500","","0.00%"
"02/17/2023","460.040","460.550","460.560","460.500","","0.00%"
"02/16/2023","460.050","460.560","460.560","460.500","","0.00%"
"02/15/2023","460.060","460.560","460.600","460.500","","0.00%"
"02/14/2023","460.060","460.520","460.560","460.520","","0.01%"
"02/13/2023","460.020","459.490","460.520","459.490","","0.22%"
"02/10/2023","458.990","460.470","460.470","459.490","","-0.21%"
"02/09/2023","459.970","460.420","460.470","460.400","","0.01%"
"02/08/2023","459.920","460.420","460.450","460.420","","0.00%"
"02/07/2023","459.920","459.700","460.420","459.700","","0.16%"
"02/06/2023","459.200","460.540","460.550","459.700","","-0.18%"
"02/03/2023","460.040","460.540","460.540","460.530","","0.00%"
"02/02/2023","460.040","460.520","460.540","460.520","","0.00%"
"02/01/2023","460.020","460.520","460.550","460.500","","0.00%"
"01/31/2023","460.020","460.410","460.520","460.410","","0.02%"
"01/30/2023","459.910","460.280","460.500","460.280","","0.03%"
"01/27/2023","459.780","460.280","460.300","460.280","","0.00%"
"01/26/2023","459.780","459.970","460.280","459.970","","0.07%"
"01/25/2023","459.470","459.810","459.970","459.800","0.02K","0.03%"
"01/24/2023","459.310","455.060","459.810","455.060","0.03K","1.04%"
"01/23/2023","454.560","455.060","460.500","455.050","0.01K","0.00%"
"01/20/2023","454.560","453.580","455.060","453.580","0.02K","0.33%"
"01/19/2023","453.080","453.580","460.500","453.580","0.01K","0.00%"
"01/18/2023","453.080","453.580","460.500","453.580","0.01K","0.00%"
"01/17/2023","453.080","452.620","460.500","452.620","0.02K","0.21%"
"01/16/2023","452.120","452.590","460.500","452.590","0.01K","0.01%"
"01/13/2023","452.090","452.130","452.590","452.130","0.01K","0.10%"
"01/12/2023","451.630","451.600","452.130","451.600","0.02K","0.12%"
"01/11/2023","451.100","450.080","451.600","450.080","0.02K","0.34%"
"01/10/2023","449.580","450.050","450.080","450.050","0.01K","0.01%"
"01/09/2023","449.550","450.050","450.080","450.050","0.01K","0.00%"
"01/06/2023","449.550","449.530","450.050","449.530","0.02K","0.12%"
"01/05/2023","449.030","449.010","449.530","449.010","0.01K","0.12%"
"01/04/2023","448.510","448.550","449.010","448.550","0.02K","0.10%"
"01/03/2023","448.050","448.080","448.550","445.500","0.02K","0.11%"
"01/02/2023","447.580","448.080","448.080","448.080","","0.00%"
"12/30/2022","447.580","447.580","448.080","447.580","0.02K","0.11%"
"12/29/2022","447.080","446.640","447.580","446.640","0.01K","0.21%"
"12/28/2022","446.140","446.630","446.640","446.630","0.01K","0.00%"
"12/27/2022","446.130","446.650","455.500","446.630","0.02K","0.00%"
"12/26/2022","446.150","446.630","446.650","446.630","0.01K","0.00%"
